member,chamber,filing_type,state_district,year,filing_date,doc_id,source_file
Hon. Lloyd Doggett,House,P,TX37,2026,2026-01-02,20033713,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2026FD\2026FD.txt
Hon. Mikie Sherrill,House,T,NJ11,2025,2026-01-02,10072992,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2025FD\2025FD.txt
Jessi Ebben,House,C,WI07,2025,2026-01-02,10073105,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2025FD\2025FD.txt
Mayra Macías,House,C,IL04,2025,2026-01-02,10073114,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2025FD\2025FD.txt
Micah Charles Lasher,House,C,NY12,2025,2026-01-02,10072606,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2025FD\2025FD.txt
Mr. Kofinsia Clyde Anthony Welford,House,C,MI02,2025,2026-01-02,10073134,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2025FD\2025FD.txt
Hon. Jefferson Shreve,House,P,IN06,2026,2026-01-01,20033705,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2026FD\2026FD.txt
Veronica Williams,House,C,TX23,2025,2026-01-01,10073130,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2025FD\2025FD.txt
Chris Gober,House,C,TX10,2025,2025-12-31,10072680,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2025FD\2025FD.txt
Darializa Avila Chevalier,House,C,NY13,2025,2025-12-31,10073113,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2025FD\2025FD.txt
Hon. Jefferson Shreve,House,P,IN06,2025,2025-12-31,20033700,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2025FD\2025FD.txt
M. Zuhdi Jasser,House,A,AZ04,2024,2025-12-31,10073119,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2024FD\2024FD.txt
Marni Von Wilpert,House,C,CA48,2025,2025-12-31,10072510,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2025FD\2025FD.txt
Paige Cognetti,House,C,PA08,2025,2025-12-31,10073003,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2025FD\2025FD.txt
Ryan Chad Casey Duckett,House,C,CA37,2025,2025-12-31,10073127,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2025FD\2025FD.txt
Charlie McClintock,House,C,IA02,2025,2025-12-30,10072528,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2025FD\2025FD.txt
Erica Lee,House,C,CA07,2025,2025-12-30,10073116,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2025FD\2025FD.txt
